"nocues","nhog","f_calib3","region","aglo","t_aglo","estrato_U","cod_U","v1","v1esp","v2","v3","v4","v5","v6","v7","v8","v9","v10a","v10b","v10c","v10d","v10e","v10f","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v62a","v62b","v62c","v63","v63a","v63b","v64","v64a","v64b","v65","v65a","v65b","v66","v66a","v66b","v67","v67a","v68","v68a","v68b","v68c","v69","v69a","v69b","v70","v70a","v70b","v70c","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v90cuantos","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103a","v103b","v103c","v104","v105a","v105b","v105c","v106a","v106b","v107a","v107b","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v235i","v235i_d","ITHPC","ITHPC_d","v237","tamaño","c_hogar","vnropsh","v238a","v239a","v240a","v241a","v242a","v243a","v244a","v245a","v246a","v247a_CIUO08","v247a_CNO01","v250a","v251a","v252a_CAES","v253a","v254a","v255a","v256a","v257a","egp11a","CSOa","v258a","v259a","v260a","v261a","vnrocon","v238b","v239b","v240b","v241b","v242b","v243b","v244b","v245b","v246b","v247b_CIUO08","v247b_CNO01","v250b","v251b","v252b_CAES","v253b","v254b","v255b","v256b","v257b","egp11b","CSOb","v258b","v259b","v260b","v261b"
1,1,778,3,6,4,164,682,3,,1,1,1,1,1,1,2,2,1,,,,,,4,3,0,1,4,1,1,1,3,1,1,1,1,1,1,1,2,0,3,0,0,1,2,3,1,3,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,228,2013,1,1,2,1,2,2,2,1,1,2,1,2,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8500,,8500,4,1700,2,3,5,6,1,1,2,1,1,,2,1,1,,"9613","56314",2,,"8401",1,6,3,1,3,9,9,8,1,4,,2,1,2,1,1,,2,1,1,,"3355","48313",1,4,"8402",1,5,3,1,3,1,4,8,1,4,
2,1,485,3,6,4,164,682,3,,1,1,1,1,1,1,2,2,1,7,,,,,3,2,0,1,4,1,1,1,3,1,1,1,1,1,1,1,2,0,3,0,0,1,2,3,1,3,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,,,,1,2,2,2,2,2,1,1,2,1,2,,,2,,,,3,,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,7,15100,7,3775,5,3,4,8,1,2,1,3,1,,4,,,,"5153","56313",2,,"8501",1,5,3,1,3,9,9,5,1,3,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3,1,834,3,6,4,164,682,3,,1,5,1,2,1,1,1,1,6,,,,,,4,3,0,1,4,1,2,1,3,1,1,1,2,2,2,1,2,0,3,0,0,0,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,2,2,2,4,,,2,,,,3,,3,,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,4,5700,,5700,2,950,1,2,6,7,1,1,1,1,1,,2,1,1,,"6111","60123",2,,"0101",2,1,2,,,11,7,7,1,2,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
4,1,1032,3,6,4,164,682,3,,1,1,1,2,2,1,2,2,1,7,,,,,3,2,0,1,4,1,1,1,3,1,1,1,2,1,1,1,2,0,3,0,0,0,0,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,2,2,2,,,2,,,,3,,3,,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,4,4500,,5000,2,1000,1,3,5,3,1,1,2,1,1,,2,1,2,5,"8183","80323",1,2,"8200",2,6,3,1,3,9,8,8,1,4,,2,1,2,1,2,5,2,1,2,5,"8131","80313",2,,"2009",2,6,3,1,3,9,8,8,1,4,
5,1,603,3,6,4,164,682,3,,1,5,1,2,1,1,1,2,1,2,,,,,5,3,0,1,4,1,2,2,3,1,1,1,1,1,2,1,2,0,3,1,1,1,0,3,0,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,,,,1,2,2,2,2,2,2,1,2,2,1,2,,1,1,,,3,,3,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,14600,,14600,7,2920,4,3,5,6,1,2,1,1,2,5,4,,,,"6111","60313",2,,"0101",2,5,3,2,2,10,8,4,1,2,,3,1,1,1,1,,2,1,1,,"9613","56314",2,,"8101",1,4,3,1,3,9,9,4,1,2,
6,1,904,3,6,4,164,682,3,,1,1,1,2,2,1,2,2,1,2,4,,,,4,3,0,1,1,1,1,1,3,1,1,1,2,2,1,1,2,0,3,1,1,1,0,3,0,0,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,2,1,,3,,,,1,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,,3,7100,3,1420,2,3,5,7,1,1,1,3,1,,2,1,2,3,"3116","80312",1,3,"2309",2,5,3,1,3,1,4,7,1,3,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
7,1,483,3,6,1,155,683,2,,1,5,1,1,2,1,1,1,6,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,0,2,2,2,3,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,,,,2,,,2,,,2,,,2,,,2,,2,,,,2,,,2,,,,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,174,1995,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,,4,7000,3,1400,2,2,5,3,1,1,2,1,2,1,2,1,1,,"5414","47314",2,,"1001",2,1,3,2,3,9,8,2,,,4,2,1,2,1,2,3,4,,,,"5221","30113",2,,"4808",2,2,2,,,6,5,3,1,4,
8,1,1638,3,6,1,155,683,2,,4,1,1,1,1,5,,,,,,,,,4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,0,1,1,0,0,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,197,2012,1,1,2,2,2,2,2,1,2,1,1,2,,1,4,,,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,13200,,13700,7,4566.666666666667,6,1,3,3,1,1,1,1,1,,2,3,2,2,"5221","30123",2,,"4803",2,2,5,,,2,5,8,1,4,,2,1,1,1,2,2,2,3,2,3,"8332","34323",2,,"0900",1,5,3,1,3,9,8,6,1,4,
9,1,546,3,6,1,155,683,2,,1,1,1,1,1,1,2,2,2,,,,,,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,3,,,3,,,3,,,3,,,3,,,3,,3,,,,2,1,,3,,,,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,,,,1,2,2,2,2,2,2,1,2,2,1,2,,1,4,,,3,,3,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,,4,7000,3,1750,2,3,4,7,1,1,1,1,1,,2,2,1,,"9211","60314",1,2,"1100",2,5,3,1,3,10,9,6,1,3,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
10,1,1540,3,6,1,155,683,2,,4,1,1,1,1,1,2,2,2,,,,,,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,1,0,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,160,2012,1,1,2,2,2,2,2,1,1,2,1,,,2,,,,1,1,2,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,6,13000,7,4333.333333333333,6,2,3,3,1,1,2,3,1,,1,3,1,,"5412","48313",1,4,"8402",1,9,3,1,3,7,,6,1,4,,2,1,1,3,2,2,1,3,2,3,"4211","20313",2,,"6400",2,4,3,1,3,4,6,6,1,4,
