height,weight,age,male,age_mother
151.765,47.8256065,63,Yes,58
139.7,36.4858065,63,No,40
136.525,31.864838,65,No,20
156.845,53.0419145,41,Yes,63
145.415,41.276872,51,No,52
163.83,62.992589,35,Yes,29
149.225,38.2434755,32,No,37
168.91,55.4799715,27,Yes,21
147.955,34.869885,19,No,27
165.1,54.487739,54,Yes,62
154.305,49.89512,47,No,44
151.13,41.220173,66,Yes,21
144.78,36.0322145,73,No,61
149.9,47.7,20,No,41
150.495,33.849303,65.3,No,39
163.195,48.5626935,36,Yes,59
157.48,42.3258035,44,Yes,31
143.9418,38.3568735,31,No,54
121.92,19.617854,12,Yes,50
105.41,13.947954,8,No,59
86.36,10.489315,6.5,No,53
161.29,48.987936,39,Yes,38
156.21,42.7226965,29,No,25
129.54,23.586784,13,Yes,20
109.22,15.989118,7,No,63
146.4,35.493574,56,Yes,46
148.59,37.9032815,45,No,34
147.32,35.4652245,19,No,62
137.16,27.328918,17,Yes,56
125.73,22.6796,16,No,40
114.3,17.860185,11,Yes,56
147.955,40.312989,29,Yes,44
161.925,55.111428,30,Yes,61
146.05,37.5063885,24,No,60
146.05,38.498621,35,No,45
152.7048,46.606578,33,No,46
142.875,38.838815,27,No,55
142.875,35.5786225,32,No,60
147.955,47.400364,36,No,27
160.655,47.8823055,24,Yes,31
151.765,49.4131785,30,Yes,50
162.8648,49.384829,24,Yes,32
171.45,56.5572525,52,Yes,54
147.32,39.12231,42,No,23
147.955,49.89512,19,No,55
144.78,28.803092,17,No,37
121.92,20.41164,8,Yes,64
128.905,23.359988,12,No,51
97.79,13.267566,5,No,39
154.305,41.2485225,55,Yes,35
143.51,38.55532,43,No,25
146.7,42.4,20,Yes,40
157.48,44.6504625,18,Yes,39
127,22.010551799999998,13,Yes,49
110.49,15.422128,9,No,54
97.79,12.757275,5,No,55
165.735,58.5984165,42,Yes,30
152.4,46.719976,44,No,43
141.605,44.22522,60,No,47
158.8,50.9,20,No,48
155.575,54.317642,37,No,21
164.465,45.8978405,50,Yes,30
151.765,48.024053,50,No,39
161.29,52.219779,31,Yes,18
154.305,47.62716,25,No,39
145.415,45.642695,23,No,50
145.415,42.410852,52,No,29
152.4,36.4858065,79.3,Yes,61
163.83,55.9335635,35,Yes,34
144.145,37.194544,27,No,31
129.54,24.550667,13,Yes,30
129.54,25.627948,14,No,27
153.67,48.307548,38,Yes,46
142.875,37.3362915,39,No,39
146.05,29.596878,12,No,33
167.005,47.173568,30,Yes,49
158.4198,47.286966,24,No,35
91.44,12.927372,0.599999999999909,Yes,27
165.735,57.549485,51,Yes,65
149.86,37.931631,46,No,19
147.955,41.900561,17,No,42
137.795,27.5840635,12,No,49
154.94,47.2019175,22,No,38
160.9598,43.204638,29,Yes,46
161.925,50.2636635,38,Yes,61
147.955,39.3774555,30,No,63
113.665,17.463292,6,Yes,54
159.385,50.689,45,Yes,27
148.59,39.4341545,47,No,31
136.525,36.28736,79,No,64
158.115,46.266384,45,Yes,47
144.78,42.2691045,54,No,38
156.845,47.62716,31,Yes,33
179.07,55.7067675,23,Yes,30
118.745,18.824068,9,No,43
170.18,48.5626935,41,Yes,57
146.05,42.807745,23,No,27
147.32,35.0683315,36,No,54
113.03,17.8885345,5,Yes,45
162.56,56.755699,30,No,36
133.985,27.442316,12,Yes,34
152.4,51.255896,34,No,43
160.02,47.230267,44,Yes,34
149.86,40.936678,43,No,62
142.875,32.715323,73.3,No,56
167.005,57.0675435,38,Yes,46
159.385,42.977842,43,Yes,33
154.94,39.9444455,33,No,31
148.59,32.4601775,16,No,48
111.125,17.123098,11,Yes,59
111.76,16.499409,6,Yes,37
162.56,45.9545395,35,Yes,26
152.4,41.106775,29,No,62
124.46,18.257078,12,No,54
111.76,15.081934,9,Yes,29
86.36,11.4815475,7.59999999999991,Yes,18
170.18,47.5988105,58,Yes,64
146.05,37.5063885,53,No,21
159.385,45.019006,51,Yes,34
151.13,42.2691045,48,No,46
160.655,54.8562825,29,Yes,37
169.545,53.523856,41,Yes,37
158.75,52.1914295,81.75,Yes,38
74.295,9.752228,1,Yes,18
149.86,42.410852,35,No,40
153.035,49.5832755,46,No,56
96.52,13.097469,5,Yes,38
161.925,41.730464,29,Yes,19
162.56,56.018612,42,Yes,31
