id,eph_codagl,eph_aglome,codaglo,aglomerado,codprov,nomprov,coddepto,localidade,frac2010,radio2010,the_geom,tiporad,entidades
1,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,01,01,NA,U,(02001010 - 04) Retiro
2,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,01,NA,U,(02001010 - 04) Retiro
3,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,02,NA,U,(02001010 - 04) Retiro
4,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,03,NA,U,(02001010 - 04) Retiro
5,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,04,NA,U,(02001010 - 04) Retiro
6,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,05,NA,U,(02001010 - 04) Retiro
7,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,06,NA,U,(02001010 - 04) Retiro
8,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,07,NA,U,(02001010 - 04) Retiro
9,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,08,NA,U,(02001010 - 04) Retiro
10,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,09,NA,U,(02001010 - 04) Retiro
11,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,10,NA,U,(02001010 - 04) Retiro
12,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,11,NA,U,(02001010 - 04) Retiro
13,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,12,NA,U,(02001010 - 04) Retiro
14,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,13,NA,U,(02001010 - 04) Retiro
15,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,14,NA,U,(02001010 - 04) Retiro
16,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,15,NA,U,(02001010 - 04) Retiro
17,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,16,NA,U,(02001010 - 04) Retiro
18,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,17,NA,U,(02001010 - 04) Retiro
19,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,18,NA,U,(02001010 - 04) Retiro
20,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,02,19,NA,U,(02001010 - 04) Retiro
21,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,01,NA,U,(02001010 - 04) Retiro
22,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,02,NA,U,(02001010 - 04) Retiro
23,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,03,NA,U,(02001010 - 04) Retiro
24,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,04,NA,U,(02001010 - 04) Retiro
25,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,05,NA,U,(02001010 - 04) Retiro
26,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,06,NA,U,(02001010 - 04) Retiro
27,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,07,NA,U,(02001010 - 04) Retiro
28,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,08,NA,U,(02001010 - 04) Retiro
29,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,09,NA,U,(02001010 - 04) Retiro
30,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,10,NA,U,(02001010 - 04) Retiro
31,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,11,NA,U,(02001010 - 04) Retiro
32,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,12,NA,U,(02001010 - 04) Retiro
33,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,13,NA,U,(02001010 - 04) Retiro
34,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,14,NA,U,(02001010 - 04) Retiro
35,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,15,NA,U,(02001010 - 04) Retiro
36,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,16,NA,U,(02001010 - 04) Retiro
37,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,17,NA,U,(02001010 - 04) Retiro
38,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,18,NA,U,(02001010 - 04) Retiro
39,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,19,NA,U,(02001010 - 04) Retiro
40,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,20,NA,U,(02001010 - 04) Retiro
41,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,21,NA,U,(02001010 - 04) Retiro
42,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,22,NA,U,(02001010 - 04) Retiro
43,32,CABA,0001,Gran Buenos Aires,02,Ciudad de Buenos Aires,001,(02001010) Ciudad Autónoma de Buenos Aires,03,23,NA,U,(02001010 - 04) Retiro
