review_id,review_body,stars,product_category
es_0631804,"Lo recibí ayer. Viene el menú del teléfono en inglés, un gran problema. Es para una señora mayor. Creo k no hay forma de cambiar el idioma. Por lo demás no se todavía como funciona. No he podido configurar por el idioma.",Negativa,wireless
es_0837984,"Me gusta su modelo y la forma de carga , lo que no me gusta y me resulta incómodo es que la parte que hace de sujeción es muy mala no hace el agarre la pestaña que tiene es muy pequeña y por ese motivo no estoy a gusto ya que siempre se me cae , la compra me resultó mala e inútil ya que no me da el servicio que quería",Negativa,home
es_0683391,"Hola, en un mes a dejado de funcionar, no se sincroniza con el tel. Decepcionante, espero poder devolverlo.",Negativa,video_games
es_0712963,"Lo compré porque quería una radio para el baño y poder colocarla en la pared, por eso la busqué con ventosa. Resulta que no ha habido manera de que pegara ni en la baldosa de la pared ni en el espejo del baño ... no agarra. La he tenido que devolver porque sin ventosa no me vale.",Negativa,electronics
es_0222030,Ha llegado bastante sucio y con algunas muescas como hubiera sido usado o no se hubiera tratado con el cuidado adecuado.,Negativa,personal_care_appliances
es_0944610,"La silla es perfecta en calidad precio, muy cómoda y bastante grande. Ahora mismo va hacer un año de uso y la verdad que el respaldo se ve que tiene orgura. Lei que tiene dos años de garantia pero no se si compensa tener que andar desmontandola para su reparacion. Estaba contento con ella",Negativa,furniture
es_0587529,Batería muy mala. He escrito al vendedor y no he recibido ninguna respuesta. A los 5 minutos de uso deja de funcionar,Negativa,home_improvement
es_0513992,No se adhiere en los bordes dejando 1 mm despegado todo el perímetro del cristal ... queda muy mal. He probado los dos cristales y el resultado es el mismo.,Negativa,wireless
es_0327577,"El caudal de agua mínimo en la descripción no es suficiente para iluminar los LED. Después de un mes de uso, una de las roscas de plástico se ha pasado de rosca. Es una pieza que va integrada en la T que sirve de unión con la salida de la depuradora. La cascada ha quedado inservible.",Negativa,lawn_and_garden
es_0348045,No hace buen contacto. Hay que calzarlo para que funcione,Negativa,kitchen
es_0802112,Pequeñas y poco absorventes,Negativa,home
es_0970262,"El diseño de la botella está muy logrado, incluso que cuando está suficientemente frío aparece el mensaje de ""los cuervos"" de la serie ""winter is here"", pero el sabor está mitigado, falto de las especiales características que cada whisky que han mezclado por sí solos ya tienen. Una experiencia más pero para no repetir salvo regalo para salir del paso.",Negativa,other
es_0171057,"No se si hay otra app para este reloj, y es que la app veryfitpro, no sincroniza con el reloj, y sin app es inutil.",Negativa,electronics
es_0844158,He comprado está batería y al ponerla no tuve ningún problema me arranco a la primera después de parar y arrancar la moto en cinco o seis ocasiones dejo de funcionar llevé la moto al taller y comprobaron que la batería estaba cortada y tuve que comprar una nueva llevo 2 días con ella he parado y arrancado más de 50 veces y sin ningún problema . La empresa vendedora me manda varios correos para saber si he cargado la batería 50 veces la he cargado que qué le ha pasado exactamente y no hacen nada más que dar problemas para aceptar la devolución del producto. No aconsejo a nadie que compre a este vendedor.,Negativa,automotive
es_0110589,"Uso un 43 de pie y este me quedaba enorme. He tenido que devolverlo, y no me arriesgo a comprar una talla menor, buscare otro modelo que me guste.",Negativa,shoes
es_0249560,"Basura, se rompe solo, he gastado los 3 en menos de mes y medio",Negativa,wireless
es_0685301,Calidad mas o menos buena aunque tras pasar 2 meses el color de ser rojo paso a ser blanco-amarillo.,Negativa,automotive
es_0693001,Necesito factura y no me da opción a pedirla,Negativa,drugstore
es_0725866,"Es una tablet de bajas prestaciónes... En definitiva, no se puede esperar gran cosa por ese precio... En general, decepcionado con la compra...",Negativa,pc
es_0314118,Lo tuve que devolver porqué las fotos con flash salen rosa; la funda no está pensada para eso y la luz del flash rebota con la funda. Un desastre.,Negativa,wireless
es_0069992,"Ha venido otra vez roto, es el segundo. Me lo quedo pq me hace falta.",Negativa,home
es_0294678,Protegen bien del sol... pero no las considero deportivas. Hay mucho hueco abierto y entran mosquitos cuando vas en movimiento,Negativa,apparel
es_0036058,"En las imágenes aparece q es un enganche con retenes, pues bien, no los lleva con el consiguiente problema q supone ya q en una cadena con retenes no la puedes utilizar, por q es más corta q una q los lleva. Me tube q dejar la moto averiada hasta q encontré una solución",Negativa,automotive
es_0013722,"Lo compré, venía con un poco de carga y lo usé sin problemas. En cuanto se acabó la carga, lo quise poner a cargar y entonces la clavija de carga se metió para dentro y ya no lo he podido usar más. No tiene garantía y tengo que tirarlo porque me cuesta más arreglarlo que lo que me costó",Negativa,kitchen
es_0206755,"No he podido llegar a probar la bombilla, ya que no dicen que para poder enchufarla y manejarla necesitas el repetidor de wifi de la misma marca que tienes que comprar aparte, con lo cual tuve que devolverla",Negativa,home
